Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2020,ZWE,AGO,Zimbabwe,Angola,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,EGY,Zimbabwe,Egypt,ASY,,,,0,0,0,16,0,0,16,0,0,0,5,0,0,5,21
2020,ZWE,EGY,Zimbabwe,Egypt,REF,,,,0,0,5,17,0,0,22,0,0,6,15,0,0,21,43
2020,ZWE,ARG,Zimbabwe,Argentina,REF,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2020,ZWE,AUS,Zimbabwe,Australia,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
2020,ZWE,AUS,Zimbabwe,Australia,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417
2020,ZWE,AUT,Zimbabwe,Austria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020,ZWE,BEL,Zimbabwe,Belgium,REF,,,,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5
2020,ZWE,BWA,Zimbabwe,Botswana,ASY,,,,15,16,25,74,5,0,135,9,32,12,99,5,0,157,292
2020,ZWE,BWA,Zimbabwe,Botswana,OOC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,BWA,Zimbabwe,Botswana,REF,,,,0,0,0,8,0,0,8,0,6,0,6,0,0,12,20
2020,ZWE,BRA,Zimbabwe,Brazil,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020,ZWE,BRA,Zimbabwe,Brazil,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020,ZWE,BGR,Zimbabwe,Bulgaria,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,CAN,Zimbabwe,Canada,ASY,,,,0,0,0,119,0,61,180,0,0,0,93,0,29,122,334
2020,ZWE,CAN,Zimbabwe,Canada,REF,,,,0,0,0,59,0,16,75,0,0,0,45,0,15,60,629
2020,ZWE,CHN,Zimbabwe,China,ASY,,,,0,0,0,57,0,0,57,0,0,0,33,0,0,33,90
2020,ZWE,CHN,Zimbabwe,China,REF,,,,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2020,ZWE,COD,Zimbabwe,Democratic Republic of the Congo,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ZWE,CRI,Zimbabwe,Costa Rica,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
